timestamp,cycle_id,local_now,scheduled_due_time,decision,reason,c7_invoked,c7_return_code,sent_rows_before,sent_rows_after,send_delta,lock_acquired,active_workflow,active_pipeline,safety_notes
2026-07-18T18:11:45-04:00,2026-W29,2026-07-18T18:11:37-04:00,2026-07-16T09:05:00-04:00,catchup_sent,c7_completed_with_exactly_one_new_c6_send,yes,0,2,3,1,yes,weekly_conviction,phase5r_c7,manual_execution_only=yes; broker_connection=no; order_code=no; archived_inputs=no; child_output_logged=no; smtp_config_read_by_d3=no
2026-07-18T18:20:44-04:00,2026-W29,2026-07-18T18:20:44-04:00,2026-07-16T09:05:00-04:00,already_sent,successful_c6_send_exists_for_cycle,no,,3,3,0,no,weekly_conviction,phase5r_c7,manual_execution_only=yes; broker_connection=no; order_code=no; archived_inputs=no; child_output_logged=no; smtp_config_read_by_d3=no
2026-07-18T18:35:44-04:00,2026-W29,2026-07-18T18:35:44-04:00,2026-07-16T09:05:00-04:00,already_sent,successful_c6_send_exists_for_cycle,no,,3,3,0,no,weekly_conviction,phase5r_c7,manual_execution_only=yes; broker_connection=no; order_code=no; archived_inputs=no; child_output_logged=no; smtp_config_read_by_d3=no
2026-07-18T18:50:45-04:00,2026-W29,2026-07-18T18:50:45-04:00,2026-07-16T09:05:00-04:00,already_sent,successful_c6_send_exists_for_cycle,no,,3,3,0,no,weekly_conviction,phase5r_c7,manual_execution_only=yes; broker_connection=no; order_code=no; archived_inputs=no; child_output_logged=no; smtp_config_read_by_d3=no
2026-07-18T19:05:45-04:00,2026-W29,2026-07-18T19:05:45-04:00,2026-07-16T09:05:00-04:00,already_sent,successful_c6_send_exists_for_cycle,no,,3,3,0,no,weekly_conviction,phase5r_c7,manual_execution_only=yes; broker_connection=no; order_code=no; archived_inputs=no; child_output_logged=no; smtp_config_read_by_d3=no
2026-07-18T19:20:46-04:00,2026-W29,2026-07-18T19:20:46-04:00,2026-07-16T09:05:00-04:00,already_sent,successful_c6_send_exists_for_cycle,no,,3,3,0,no,weekly_conviction,phase5r_c7,manual_execution_only=yes; broker_connection=no; order_code=no; archived_inputs=no; child_output_logged=no; smtp_config_read_by_d3=no
2026-07-18T19:35:46-04:00,2026-W29,2026-07-18T19:35:46-04:00,2026-07-16T09:05:00-04:00,already_sent,successful_c6_send_exists_for_cycle,no,,3,3,0,no,weekly_conviction,phase5r_c7,manual_execution_only=yes; broker_connection=no; order_code=no; archived_inputs=no; child_output_logged=no; smtp_config_read_by_d3=no
2026-07-18T19:50:47-04:00,2026-W29,2026-07-18T19:50:47-04:00,2026-07-16T09:05:00-04:00,already_sent,successful_c6_send_exists_for_cycle,no,,3,3,0,no,weekly_conviction,phase5r_c7,manual_execution_only=yes; broker_connection=no; order_code=no; archived_inputs=no; child_output_logged=no; smtp_config_read_by_d3=no
2026-07-18T20:05:47-04:00,2026-W29,2026-07-18T20:05:47-04:00,2026-07-16T09:05:00-04:00,already_sent,successful_c6_send_exists_for_cycle,no,,3,3,0,no,weekly_conviction,phase5r_c7,manual_execution_only=yes; broker_connection=no; order_code=no; archived_inputs=no; child_output_logged=no; smtp_config_read_by_d3=no
2026-07-18T20:20:48-04:00,2026-W29,2026-07-18T20:20:48-04:00,2026-07-16T09:05:00-04:00,already_sent,successful_c6_send_exists_for_cycle,no,,3,3,0,no,weekly_conviction,phase5r_c7,manual_execution_only=yes; broker_connection=no; order_code=no; archived_inputs=no; child_output_logged=no; smtp_config_read_by_d3=no
2026-07-18T21:06:57-04:00,2026-W29,2026-07-18T21:06:57-04:00,2026-07-16T09:05:00-04:00,already_sent,successful_c6_send_exists_for_cycle,no,,3,3,0,no,weekly_conviction,phase5r_c7,manual_execution_only=yes; broker_connection=no; order_code=no; archived_inputs=no; child_output_logged=no; smtp_config_read_by_d3=no
2026-07-18T21:21:57-04:00,2026-W29,2026-07-18T21:21:57-04:00,2026-07-16T09:05:00-04:00,already_sent,successful_c6_send_exists_for_cycle,no,,3,3,0,no,weekly_conviction,phase5r_c7,manual_execution_only=yes; broker_connection=no; order_code=no; archived_inputs=no; child_output_logged=no; smtp_config_read_by_d3=no
2026-07-18T21:36:57-04:00,2026-W29,2026-07-18T21:36:57-04:00,2026-07-16T09:05:00-04:00,already_sent,successful_c6_send_exists_for_cycle,no,,3,3,0,no,weekly_conviction,phase5r_c7,manual_execution_only=yes; broker_connection=no; order_code=no; archived_inputs=no; child_output_logged=no; smtp_config_read_by_d3=no
